stringname,en,de
HELLOMSG,Hello. This is my Portfolio.,Hallo. Dies ist mein Portfolio.
CONTNUEBTN,Continue,Weiter
FLASHLIGHTMSG,Flashlight,Taschenlampe
APPBARTOOLTIP,Show menu,Zeige Menü
